Depth;ABDCQF01;ABDCQF02;ABDCQF03;ABDCQF04;BS;CALI;DRHO;DT;DTS;GR;NPHI;PEF;RACEHM;RACELM;RHOB;ROP;RPCEHM;RPCELM;RT
3089.5;2.5685;2.5832;2.5966;2.5883;8.5;8.5781;0.0436;61.8303;107.9132;18.1424;0.0605;7.3097;10.9075;11.3266;2.5847;13.7474;12.5558;11.8738;12.5558
3089.6;2.5725;2.5886;2.6007;2.589;8.5;8.5781;0.0451;61.4137;107.1904;15.2247;0.0556;7.3481;11.0847;11.4277;2.5882;13.7478;12.4792;11.8369;12.4792
3089.7;2.5755;2.5913;2.6019;2.5882;8.5;8.5781;0.0461;60.9973;106.4681;11.5792;0.0524;7.4009;11.1944;11.4307;2.5899;13.748;13.471;12.3265;13.471
3089.8;2.5789;2.5919;2.6011;2.5872;8.5;8.5781;0.0467;60.6617;105.9502;9.1511;0.0504;7.4597;11.4986;11.4358;2.5905;13.722;15.028;13.2112;15.028
3089.9;2.5823;2.5918;2.5997;2.586;8.5;8.5781;0.0469;60.436;105.71;8.141;0.0495;7.5013;12.0985;11.6319;2.5905;13.696;15.818;13.7363;15.818
3090;2.5848;2.5929;2.5987;2.5842;8.5;8.5781;0.0465;60.2103;105.4699;8.0483;0.0494;7.5013;12.4105;11.7845;2.5904;13.6701;15.7276;13.7747;15.7276
3090.1;2.5864;2.5954;2.5983;2.5819;8.5;8.5781;0.0457;60.0553;105.2927;8.2851;0.0499;7.4613;12.2119;11.8389;2.5902;13.6898;14.8923;13.3027;14.8923
3090.2;2.5875;2.5988;2.5992;2.5803;8.5;8.5781;0.045;60.0175;105.2196;7.798;0.0511;7.4108;12.0129;11.8123;2.5905;13.7094;14.1063;12.8036;14.1063
3090.3;2.5873;2.6016;2.6015;2.5812;8.5;8.5781;0.045;59.9798;105.1467;7.8716;0.0527;7.3835;11.8933;11.7081;2.5916;13.729;14.1091;12.7936;14.1091
3090.4;2.5859;2.6029;2.6032;2.5843;8.5;8.5782;0.0461;59.9658;105.0901;8.2772;0.0546;7.3963;11.8892;11.7136;2.5931;13.7331;14.6532;13.0991;14.6532
3090.5;2.5835;2.6013;2.602;2.5869;8.5;8.6093;0.0473;60.0003;105.0675;9.469;0.0562;7.421;12.0122;11.857;2.5933;13.7372;15.2605;13.4454;15.2605
3090.6;2.5821;2.5967;2.5979;2.5867;8.5;8.5781;0.0477;60.0348;105.0449;10.1834;0.0573;7.4232;12.1251;11.9838;2.5914;13.7413;15.3768;13.5756;15.3768
3090.7;2.5817;2.5904;2.594;2.5835;8.5;8.5781;0.0471;60.0791;105.0425;9.8892;0.0577;7.3986;12.1506;11.9449;2.5882;13.7465;15.3321;13.6062;15.3321
3090.8;2.5818;2.5862;2.5934;2.5795;8.5;8.5781;0.0462;60.1478;105.0919;9.3393;0.0575;7.3767;12.0358;11.9945;2.5859;13.7516;15.1188;13.4943;15.1188
3090.9;2.5807;2.5864;2.5957;2.5768;8.5;8.5781;0.0459;60.2166;105.1414;9.1125;0.0565;7.3859;11.8891;12.042;2.5852;13.7567;14.956;13.3974;14.956
3091;2.5772;2.5887;2.5973;2.5765;8.5;8.5781;0.0456;60.2958;105.2252;8.3879;0.0549;7.4174;11.8239;12.0922;2.5846;13.7613;15.0874;13.4536;15.0874
3091.1;2.5723;2.5891;2.5957;2.5789;8.5;8.5782;0.0447;60.4093;105.4222;7.5023;0.0533;7.4443;11.8507;11.997;2.583;13.7658;15.2424;13.5516;15.2424
3091.2;2.5693;2.5867;2.592;2.5821;8.5;8.6015;0.0434;60.5227;105.6192;7.9118;0.0489;7.4558;11.7919;11.9766;2.581;13.7703;15.1892;13.5025;15.1892
3091.3;2.5711;2.5842;2.5894;2.5832;8.5;8.5781;0.0426;60.6577;105.8683;7.2917;0.0507;7.4592;11.4858;11.9551;2.5805;13.7604;14.6738;13.1517;14.6738
3091.4;2.5776;2.5842;2.5895;2.5813;8.5;8.5781;0.043;60.8881;106.3465;7.1821;0.0501;7.4761;11.1915;11.9246;2.5816;13.7505;13.3248;12.4243;13.3248
3091.5;2.5846;2.585;2.5912;2.5783;8.5;8.5781;0.0437;61.1186;106.8246;7.3142;0.0497;7.5042;11.2907;12.0678;2.583;13.7407;11.5138;11.5361;11.5138
3091.6;2.5886;2.5849;2.5943;2.5783;8.5;8.5781;0.0443;61.3554;107.2988;7.1965;0.0495;7.5302;11.4729;12.2556;2.585;13.741;10.3462;10.9304;10.3462
3091.7;2.5883;2.5856;2.5991;2.5823;8.5;8.5781;0.0451;61.633;107.7469;7.8082;0.0498;7.5419;11.222;12.2626;2.5884;13.7413;10.3543;10.8844;10.3543
3091.8;2.5861;2.59;2.6056;2.5892;8.5;8.5781;0.0467;61.9104;108.1949;8.8131;0.0509;7.5392;10.8148;12.0954;2.594;13.7417;11.0034;11.2063;11.0034
3091.9;2.585;2.5971;2.6122;2.5971;8.5;8.5781;0.049;62.1806;108.6035;11.0538;0.0527;7.5244;10.4158;11.8441;2.6004;13.7268;11.9942;11.6878;11.9942
3092;2.5866;2.6033;2.6149;2.603;8.5;8.5782;0.0502;62.3745;108.6107;12.3336;0.0549;7.4858;10.4633;11.9517;2.6044;13.712;10.8153;10.9855;10.8153
3092.1;2.5906;2.6059;2.6121;2.6041;8.5;8.6015;0.0493;62.5684;108.6178;13.3702;0.0571;7.4153;11.1754;12.6126;2.6048;13.6972;7.4451;8.8695;7.4451
3092.2;2.5945;2.6048;2.6065;2.5992;8.5;8.5782;0.0467;62.7522;108.5987;14.2529;0.0587;7.3364;11.8485;13.0632;2.6017;13.715;5.7317;7.6847;5.7317
3092.3;2.5963;2.6017;2.6014;2.5916;8.5;8.6017;0.0436;62.701;107.9769;16.4418;0.0562;7.2989;11.8433;12.9536;2.5973;13.7328;6.0816;7.9445;6.0816
3092.4;2.5955;2.5987;2.5991;2.5856;8.5;8.6249;0.0411;62.6498;107.3551;18.9436;0.0548;7.3148;11.3243;12.5942;2.5937;13.7505;7.7739;9.203;7.7739
3092.5;2.5913;2.5967;2.6019;2.5826;8.5;8.5938;0.0404;62.5977;106.7277;22.6194;0.0547;7.3552;10.9193;12.3869;2.5921;13.7519;9.6152;10.4733;9.6152
